VCC,TARGTYPE,GCSAT,HOST,RA,DEC,VHEL,VERR,VERR_pe,VERR_ne,ZCONF,VOBS,VOBS_pe,VOBS_ne,ABANDCOR,ABANDCOR_pe,ABANDCOR_ne,HELCOR,SN,KECKID,MASKNAME,SLITNUM,ZSPECNUM,ZQUAL,YLOW,YHIGH,SPEC1DNAME,Type,Probability,Nucleus
---,GCN,N,---,190.25904846191406,11.189583778381348,-43.52118682861328,2.5438897609710693,1.3498222827911377,1.320231318473816,1.0,-52.4662971496582,0.47032538056373596,0.3402353823184967,-21.845111846923828,0.1901315301656723,0.25017306208610535,12.899999618530273,72.44000244140625,gcN106,vdgc8,31,34,4,9,15,spec1d.vdgc1.011.gcA10.fits,Star,0.9810789227485657,0
---,GCN,N,---,190.236083984375,11.185388565063477,206.9721221923828,2.534168004989624,1.319624423980713,1.3115179538726807,1.0,198.21713256835938,0.3302284777164459,0.36024922132492065,-21.65498161315918,0.2601799964904785,0.16011077165603638,12.899999618530273,85.31999969482422,gcN104,vdgc8,30,33,4,15,20,spec1d.vdgc1.012.gcA17.fits,Star,0.9302067160606384,0
---,GCA,N,---,190.31362915039062,11.381194114685059,1177.82373046875,39.830745697021484,40.33353805541992,39.320987701416016,1.0,1190.6036376953125,37.01560592651367,37.52595901489258,-0.12008307874202728,15.971048355102539,11.678078651428223,12.899999618530273,0.28999999165534973,gcA57,vdgc8,29,32,2,21,25,spec1d.vdgc1.014.gcA19.fits,ICGC,1.0,0
---,GCA,Y,VCC1861,190.2154998779297,11.17894458770752,675.06591796875,16.44267463684082,19.493633270263672,13.108843803405762,1.0,687.9659423828125,19.453458786010742,13.049027442932129,437.56268310546875,23.94656753540039,29.210206985473633,12.899999618530273,2.869999885559082,gcA40,vdgc8,23,26,2,21,27,spec1d.vdgc1.015.gcA20.fits,DE_GC,1.0,0
---,GCA,Y,VCC1871,190.310791015625,11.385472297668457,596.5715942382812,2.991852283477783,2.2578864097595215,1.8874127864837646,1.0,600.715576171875,1.6911699771881104,1.1507961750030518,-8.756057739257812,0.8205676674842834,0.8205676674842834,12.899999618530273,25.040000915527344,gcA38,vdgc8,22,25,4,46,52,spec1d.vdgc1.020.gcN82.fits,DE_GC,1.0,0
---,GCA,Y,VCC1871,190.31387329101562,11.386500358581543,546.8372192382812,6.121758937835693,5.756730079650879,5.696963310241699,1.0,569.1337280273438,3.9026997089385986,3.6825475692749023,9.396500587463379,4.042796611785889,4.162879943847656,12.899999618530273,10.539999961853027,gcA35,vdgc8,21,24,4,19,30,spec1d.vdgc1.022.gcN87.fits,DE_GC,1.0,0
---,GCA,Y,VCC1871,190.31895446777344,11.378110885620117,570.263427734375,8.855121612548828,9.200596809387207,8.025565147399902,1.0,561.998779296875,6.334382057189941,6.344388961791992,-21.164642333984375,6.554534435272217,4.753288269042969,12.899999618530273,5.610000133514404,gcA32,vdgc8,20,23,4,16,22,spec1d.vdgc1.023.gcN95.fits,DE_GC,1.0,0
---,GCA,Y,VCC1861,190.251953125,11.17347240447998,619.247314453125,4.331694602966309,4.027149200439453,3.488241672515869,1.0,610.0120239257812,3.37233304977417,2.6718482971191406,-22.13531494140625,1.8112530708312988,1.8612877130508423,12.899999618530273,14.380000114440918,gcA30,vdgc8,19,22,4,18,24,spec1d.vdgc1.026.gcN120.fits,DE_GC,1.0,0
---,GCA,Y,VCC1861,190.25033569335938,11.17691707611084,588.365966796875,3.371969223022461,2.3561363220214844,2.8189520835876465,1.0,578.330078125,1.7612184286117554,2.1715023517608643,-22.935867309570312,0.9406507611274719,1.2908930778503418,12.899999618530273,17.100000381469727,gcA29,vdgc8,18,21,4,39,45,spec1d.vdgc1.027.gcN138.fits,DE_GC,1.0,0
---,GCA,Y,VCC1861,190.25070190429688,11.18405532836914,668.6314697265625,12.852770805358887,14.71839427947998,11.2373685836792,1.0,618.2977294921875,14.09975528717041,8.385801315307617,-63.23374557495117,4.032789707183838,7.375102519989014,12.899999618530273,3.4600000381469727,gcA27,vdgc8,17,20,2,12,18,spec1d.vdgc1.028.gcN143.fits,DE_GC,1.0,0
---,GCA,Y,VCC1861,190.24008178710938,11.168222427368164,673.1046142578125,18.69963264465332,17.56749153137207,19.59114646911621,1.0,646.9876098632812,14.940335273742676,16.151172637939453,-39.016990661621094,9.156333923339844,11.017621994018555,12.899999618530273,4.349999904632568,gcA26,vdgc8,16,19,3,88,94,spec1d.vdgc1.029.gcN145.fits,DE_GC,1.0,0
---,GCA,Y,VCC1861,190.24887084960938,11.188111305236816,633.6973266601562,8.745182037353516,7.358470439910889,9.590021133422852,1.0,636.6204223632812,6.764679908752441,8.886147499084473,-9.97690200805664,2.611806869506836,3.3823399543762207,12.899999618530273,5.480000019073486,gcA23,vdgc8,15,18,1,14,19,spec1d.vdgc1.030.gcN147.fits,DE_GC,1.0,0
